Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.808,0.5891472868217055,0.18673218673218672,0.2835820895522388
Decision Tree,0.7825,0.46846846846846846,0.5110565110565111,0.4888366627497062
Random Forest,0.864,0.7824267782426778,0.4594594594594595,0.5789473684210527
Optimized Random Forest,0.8655,0.7899159663865546,0.4619164619164619,0.5829457364341085
